word,code
lice,___li_ce______
lick,___li_ck______
lid,___li_d_______
lie,___lie________
lien,___lien_______
life,___li_fe______
lift,___li_ft______
light,___li_ght_____
like,___li_ke______
lilt,___li_lt______
limb,___li_mb______
lime,___li_me______
limp,___li_mp______
line,___li_ne______
link,___li_nk______
lint,___li_nt______
lip,___li_p_______
lisle,___li_sle_____
list,___li_st______
lit,___li_t_______
lithe,___li_the_____
live,___li_ve______
load,___load_______
loaf,___loaf_______
loan,___loan_______
loath,___loath______
lob,___lo_b_______
lobe,___lo_be______
lock,___lo_ck______
lode,___lo_de______
lodge,___lo_dge_____
loft,___lo_ft______
log,___lo_g_______
loin,___loin_______
lone,___lo_ne______
long,___lo_ng______
look,___look_______
loom,___loom_______
loon,___loon_______
loop,___loop_______
loose,___loose______
loot,___loot_______
lop,___lo_p_______
lope,___lo_pe______
lord,___lo_rd______
lore,___lo_re______
lose,___lo_se______
loss,___lo_ss______
lost,___lo_st______
lot,___lo_t_______
loud,___loud_______
lounge,___lounge_____
loupe,___loupe______
louse,___louse______
love,___lo_ve______
low,___low________
luck,___lu_ck______
lug,___lu_g_______
lull,___lu_ll______
