,source,word,freq_lcnl,aoa_mean,aoa_sd,tasa_1,tasa_2,tasa_3
1615,3k,dance,89,4.63,1.57,55,60,51
1940,3k,drum,16,4.63,2.19,21,12,19
3764,3k,knock,20,4.63,2.06,20,28,32
5803,3k,sand,26,4.63,2.31,135,105,112
8182,3k,wear,39,4.63,2.43,81,106,108
7846,3k,TRUE,,4.644481,2.08,,,
4201,3k,mail,18,4.65,2.01,69,37,29
6505,3k,smash,8,4.65,2.03,3,3,3
7149,unl,striped,10,4.65,2.03,9,8,6
8135,3k,warm,51,4.65,1.79,242,241,277
801,lcnl,burp,3,4.67,1.88,,,
1313,3k,cone,5,4.67,2.57,14,10,9
2522,lcnl,fridge,1,4.67,1.33,,,
2784,3k,glue,2,4.67,1.08,13,6,9
3316,3k,hold,47,4.67,2.89,175,214,212
5586,3k,ride,49,4.67,2.17,328,195,172
6388,3k,slap,2,4.67,2.3,5,2,6
7413,3k,teach,10,4.67,1.64,46,52,46
7660,3k,toast,13,4.67,3.34,5,18,18
2479,3k,fourth,6,4.676452,1.29,14,21,38
343,3k,bin,3,4.68,2.67,1,5,4
554,3k,born,22,4.68,1.97,30,95,119
3762,3k,knob,,4.68,2.43,2,3,6
4213,3k,make,233,4.68,1.77,1380,1258,1453
6353,3k,skip,8,4.68,1.95,6,12,12
1150,3k,claw,2,4.7,2.2,6,4,2
4124,3k,low,18,4.7,1.22,62,112,151
2115,3k,fall,45,4.71,2.63,273,173,174
4722,unl,oh,351,4.71908,1.85,867,597,477
797,3k,burn,,4.72,1.87,35,42,36
4601,3k,new,174,4.72,2.14,879,794,945
4769,lcnl,ox,2,4.72,1.96,27,16,13
4809,3k,pan,6,4.72,1.53,100,41,18
5739,3k,rule,15,4.72,1.49,24,57,40
6016,3k,seed,9,4.72,2.24,20,29,38
6211,3k,shout,21,4.72,1.49,28,38,31
6265,3k,side,79,4.72,1.27,413,429,422
855,3k,call,76,4.74,1.85,341,315,268
1069,3k,choose,22,4.74,1.79,12,51,60
1295,3k,coke,,4.74,1.76,0,2,3
1497,3k,cross,24,4.74,1.76,56,71,82
3979,3k,lift,8,4.74,1.91,27,39,43
4294,3k,meal,10,4.74,1.56,20,41,49
4303,3k,meet,27,4.74,1.73,101,129,138
5993,3k,sea,46,4.74,1.56,240,243,225
7611,3k,tie,10,4.74,1.82,53,36,31
3279,3k,hit,13,4.75,2.83,263,189,145
5706,3k,round,88,4.75,2.05,106,120,158
7515,3k,think,265,4.75,1.55,1417,1313,1353
7082,3k,store,23,4.76,1.92,333,225,192
561,3k,both,52,4.772365,1.57,213,268,333
4079,lcnl,looks,44,4.772365,1.41,418,237,179
7318,3k,switch,,4.78,2.24,3,15,12
8381,3k,witch,7,4.78,1.4,5,12,16
332,3k,bike,33,4.79,1.65,173,87,59
437,3k,block,16,4.79,3.08,87,65,59
2156,3k,fear,20,4.79,1.93,15,46,75
2999,3k,grow,45,4.79,1.93,298,301,320
5310,3k,pull,25,4.79,1.93,116,113,104
5640,3k,roar,7,4.79,2.25,25,42,25
6430,3k,slide,16,4.79,2.3,12,21,24
8362,3k,wing,9,4.79,1.84,20,21,19
239,3k,beach,27,4.8,1.54,82,81,83
4258,3k,mask,2,4.8,2.46,28,17,16
6656,3k,soon,115,4.82565,1.88,616,558,486
4434,3k,moon,88,4.83,2.31,196,119,143
8053,3k,voice,64,4.83,1.54,213,387,359
8369,3k,wipe,5,4.83,2.07,3,2,8
253,3k,beard,5,4.84,1.8,4,13,17
904,3k,cash,,4.84,2.61,14,11,8
3348,3k,hop,36,4.84,2.17,107,19,16
3356,3k,horn,20,4.84,1.01,16,27,23
4836,3k,paste,,4.84,1.61,12,13,10
6097,3k,share,16,4.84,1.86,39,48,52
6322,3k,size,7,4.84,2.48,54,72,93
6649,3k,some,316,4.846964,2.44,2171,1973,2260
217,3k,bat,26,4.85,1.73,51,32,22
2399,3k,fluff,4,4.85,1.57,10,0,2
3998,3k,line,35,4.85,2.52,181,174,206
7237,3k,sure,89,4.85,1.46,467,589,564
545,lcnl,boots,12,4.86,2.71,50,48,43
2125,3k,far,61,4.878935,1.57,377,369,389
7501,3k,they,1078,4.878935,1.87,5819,5999,6632
1881,3k,dream,18,4.88,1.95,61,68,67
447,3k,blood,4,4.89,1.64,34,63,75
783,3k,bunch,15,4.89,1.78,24,29,19
1761,3k,dish,12,4.89,2.42,41,31,10
2512,3k,freeze,8,4.89,1.76,4,8,13
2990,3k,ground,52,4.89,2.3,325,317,335
3044,3k,gum,6,4.89,1.13,15,18,19
3349,3k,hope,40,4.89,2.11,136,113,107
3707,3k,kind,47,4.89,1.23,256,352,436
4961,3k,piece,21,4.89,1.7,114,155,174
5500,3k,reach,24,4.89,2.79,67,73,95
6257,3k,shut,35,4.89,2.17,73,87,90
6405,lcnl,sled,3,4.89,1.88,17,21,26
6680,3k,sour,5,4.89,2.18,3,8,8
7421,3k,tear,1,4.89,1.97,21,18,20
8372,3k,wire,10,4.89,1.78,18,35,39
8470,3k,write,24,4.89,1.64,276,246,221
810,3k,bush,18,4.9,2.1,20,21,31
3397,3k,huge,17,4.9,3.14,30,80,116
7491,3k,them,458,4.900249,2.16,1948,2256,2666
8404,lcnl,woods,19,4.930784,1.62,216,143,126
1844,3k,down,522,4.93222,1.96,2635,2173,1958
2477,3k,four,81,4.93222,2.48,222,249,293
7523,3k,this,538,4.93222,2.09,3899,2990,3591
1339,3k,cop,,4.94,1.3,19,6,6
4481,3k,mouse,111,4.94,1.76,442,171,82
6413,3k,sleeve,2,4.94,2.13,3,11,10
7087,3k,storm,15,4.94,2.51,32,69,73
7144,3k,string,18,4.94,1.7,93,74,57
573,3k,bow,26,4.95,2.22,15,25,30
1145,3k,class,16,4.95,1.36,182,181,177
2434,3k,fold,,4.95,1.87,28,8,11
5015,3k,place,104,4.95,1.96,720,670,756
