,Unnamed: 0,source,word,freq_lcnl,freq_lcnl_log,freq_lcnl_log_flipscale,aoa_mean,aoa_sd,aoa_mean_scale,tasa_1,tasa_2,tasa_3,Has_freq,Has_aoa,Filter,score
1712,4798,3k,pal,6,1.791759469,8.045182537,5.74,2.54,2.296,7,9,6,TRUE,TRUE,TRUE,6.318591269
1960,6306,3k,sip,2,0.693147181,9.243773377,4.26,1.37,1.704,5,2,3,TRUE,TRUE,TRUE,6.325886689
1818,2550,3k,frost,4,1.386294361,8.487546753,5.209302,1.58,2.0837208,11,6,16,TRUE,TRUE,TRUE,6.327494177
1589,7363,3k,tale,9,2.197224577,7.60281832,6.32,2.52,2.528,0,8,13,TRUE,TRUE,TRUE,6.32940916
1628,6577,3k,sniff,8,2.079441542,7.73132013,6.16,3.39,2.464,11,6,3,TRUE,TRUE,TRUE,6.329660065
1824,4443,3k,moose,4,1.386294361,8.487546753,5.22,1.73,2.088,2,16,14,TRUE,TRUE,TRUE,6.331773377
1772,994,3k,check,5,1.609437912,8.244096157,5.53,1.68,2.212,49,63,59,TRUE,TRUE,TRUE,6.334048079
1773,4984,3k,pine,5,1.609437912,8.244096157,5.53,2.14,2.212,70,43,38,TRUE,TRUE,TRUE,6.334048079
1715,7868,3k,tuck,6,1.791759469,8.045182537,5.79,2.12,2.316,0,1,3,TRUE,TRUE,TRUE,6.338591269
1505,7029,3k,stew,14,2.63905733,7.120776844,6.95,3.44,2.78,8,11,9,TRUE,TRUE,TRUE,6.340388422
1261,4297,lcnl,means,37,3.610917913,6.060472672,8.289175,3.31,3.31567,91,140,182,TRUE,TRUE,TRUE,6.345906336
1279,4894,3k,peep,35,3.555348061,6.121099624,8.22,3.44,3.288,2,4,1,TRUE,TRUE,TRUE,6.348549812
1592,6069,3k,shade,9,2.197224577,7.60281832,6.37,2.43,2.548,33,32,35,TRUE,TRUE,TRUE,6.34940916
1972,59,3k,ant,2,0.693147181,9.243773377,4.32,1.57,1.728,114,27,13,TRUE,TRUE,TRUE,6.349886689
1494,7379,3k,tank,16,2.772588722,6.975093507,7.17,2.36,2.868,51,41,34,TRUE,TRUE,TRUE,6.355546754
1577,8248,3k,wheat,10,2.302585093,7.487869534,6.53,2.46,2.612,89,34,26,TRUE,TRUE,TRUE,6.355934767
1902,6405,lcnl,sled,3,1.098612289,8.80140916,4.89,1.88,1.956,17,21,26,TRUE,TRUE,TRUE,6.35670458
1686,7774,3k,tray,7,1.945910149,7.877003467,6.05,1.81,2.42,3,13,10,TRUE,TRUE,TRUE,6.358501734
1775,2077,3k,eve,5,1.609437912,8.244096157,5.603611,2.45,2.2414444,16,6,5,TRUE,TRUE,TRUE,6.363492479
1579,4207,3k,main,10,2.302585093,7.487869534,6.55,1.64,2.62,21,54,94,TRUE,TRUE,TRUE,6.363934767
1653,3020,3k,guard,8,2.079441542,7.73132013,6.25,2.07,2.5,29,48,31,TRUE,TRUE,TRUE,6.365660065
1778,8335,3k,wig,5,1.609437912,8.244096157,5.63,2.22,2.252,4,3,3,TRUE,TRUE,TRUE,6.374048079
1841,6134,3k,sheet,4,1.386294361,8.487546753,5.33,2.45,2.132,21,36,24,TRUE,TRUE,TRUE,6.375773377
1840,3187,3k,heat,4,1.386294361,8.487546753,5.33,2.03,2.132,45,67,136,TRUE,TRUE,TRUE,6.375773377
1611,5302,3k,puff,9,2.197224577,7.60281832,6.44,3.18,2.576,33,17,6,TRUE,TRUE,TRUE,6.37740916
1703,3411,3k,hump,7,1.945910149,7.877003467,6.11,1.64,2.444,0,4,5,TRUE,TRUE,TRUE,6.382501734
1590,8509,3k,yarn,10,2.302585093,7.487869534,6.61,2.66,2.644,16,11,10,TRUE,TRUE,TRUE,6.387934767
