,Unnamed: 0,word,source,freq_lcnl,freq_lcnl_log,freq_lcnl_log_flipscale,aoa_mean,aoa_sd,aoa_mean_scale,tasa_1,tasa_2,tasa_3,Word,SUBTLWF,freq_lcnl_extended,freq_lcnl_extended_log,freq_lcnl_extended_log_flipscale,score,score_extended
366,409,yes,3k,103.0,2.0170333392987803,1.9636970372371652,2.310598,1.68,0.9242391999999999,1002.0,601.0,456.0,#N/A,#N/A,103.0,2.0170333392987803,1.9636970372371652,9.183537630330079,9.183537630330079
980,1082,say,3k,212.0,2.3283796034387376,1.6523507730972078,3.42,1.07,1.368,955.0,862.0,805.0,say,1639.7843137254902,212.0,2.3283796034387376,1.6523507730972078,9.203227705840227,9.203227705840227
3236,6018,we,lcnl,610.0,2.786041210242554,1.1946891662933914,5.0387900000000005,1.66,2.0155160000000003,4846.0,3286.0,3235.0,we,9011.901960784313,610.0,2.786041210242554,1.1946891662933914,9.22020208202687,9.22020208202687
1280,1403,there,3k,693.0,2.841359470454855,1.1393709060810906,5.2519300000000015,2.05,2.100772,3255.0,3310.0,3699.0,there,4348.117647058823,693.0,2.841359470454855,1.1393709060810906,9.239728171283819,9.239728171283819
791,874,cat,3k,245.0,2.3909351071033793,1.589795269432566,3.68,1.52,1.472,904.0,215.0,162.0,cat,66.33333333333333,245.0,2.3909351071033793,1.589795269432566,9.244283443013982,9.244283443013982
1438,1576,more,3k,260.0,2.416640507338281,1.5640898691976646,3.7812639999999997,2.04,1.5125056,902.0,1159.0,1474.0,more,1298.5882352941176,260.0,2.416640507338281,1.5640898691976646,9.255578542191826,9.255578542191826
2516,2751,home,3k,268.0,2.429752280002408,1.5509780965335374,3.86652,1.88,1.5466080000000002,1677.0,1094.0,939.0,home,774.3333333333334,268.0,2.429752280002408,1.5509780965335374,9.29494333786738,9.29494333786738
1073,1183,where,3k,309.0,2.4913616938342726,1.4893686827016728,4.0903170000000015,2.06,1.6361268000000002,1477.0,1177.0,1308.0,#N/A,#N/A,309.0,2.4913616938342726,1.4893686827016728,9.303107389455857,9.303107389455857
2018,2211,this,3k,538.0,2.7315887651867388,1.2491416113492066,4.93222,2.09,1.9728880000000002,3899.0,2990.0,3591.0,this,7978.725490196079,538.0,2.7315887651867388,1.2491416113492066,9.304215639722223,9.304215639722223
1441,1579,door,3k,155.0,2.1931245983544616,1.7876057781814838,3.05,1.15,1.22,818.0,782.0,668.0,door,292.05882352941177,155.0,2.1931245983544616,1.7876057781814838,9.306620223635193,9.306620223635193
2965,4640,or,lcnl,311.0,2.494154594018443,1.4865757825175026,4.1436020000000005,1.25,1.6574408000000005,931.0,1553.0,2536.0,or,1705.2941176470588,311.0,2.494154594018443,1.4865757825175026,9.346617238811259,9.346617238811259
563,630,down,3k,522.0,2.718501688867274,1.2622286876686712,4.93222,1.96,1.9728880000000002,2635.0,2173.0,1958.0,down,1490.2745098039215,522.0,2.718501688867274,1.2622286876686712,9.35002040684035,9.35002040684035
1829,2012,from,3k,370.0,2.569373909615046,1.4113564669208993,4.441998,2.24,1.7767992,2044.0,2639.0,3623.0,from,2039.0588235294117,370.0,2.569373909615046,1.4113564669208993,9.381745634223147,9.381745634223147
261,296,tree,3k,206.0,2.315970345456918,1.6647600310790276,3.57,1.61,1.4280000000000002,807.0,501.0,358.0,tree,65.0,206.0,2.315970345456918,1.6647600310790276,9.396660108776597,9.396660108776597
