word,freq_lcnl,freq_lcnl_log,freq_lcnl_log_flipscale
warm,51,3.931825633,5.710360938
birds,50,3.912023005,5.731965691
cake,50,3.912023005,5.731965691
clothes,50,3.912023005,5.731965691
eating,50,3.912023005,5.731965691
leave,50,3.912023005,5.731965691
lunch,50,3.912023005,5.731965691
own,50,3.912023005,5.731965691
party,50,3.912023005,5.731965691
shoes,50,3.912023005,5.731965691
tail,50,3.912023005,5.731965691
ten,50,3.912023005,5.731965691
terrible,50,3.912023005,5.731965691
brothers,49,3.891820298,5.754006934
buy,49,3.891820298,5.754006934
chrysanthemum,49,3.891820298,5.754006934
dad,49,3.891820298,5.754006934
legs,49,3.891820298,5.754006934
met,49,3.891820298,5.754006934
noise,49,3.891820298,5.754006934
pascal,49,3.891820298,5.754006934
rest,49,3.891820298,5.754006934
ride,49,3.891820298,5.754006934
rock,49,3.891820298,5.754006934
thump,49,3.891820298,5.754006934
bell,48,3.871201011,5.776502667
boys,48,3.871201011,5.776502667
bright,48,3.871201011,5.776502667
care,48,3.871201011,5.776502667
flowers,48,3.871201011,5.776502667
grandma,48,3.871201011,5.776502667
ma,48,3.871201011,5.776502667
bing,47,3.850147602,5.799472029
boat,47,3.850147602,5.799472029
family,47,3.850147602,5.799472029
fox,47,3.850147602,5.799472029
funny,47,3.850147602,5.799472029
happened,47,3.850147602,5.799472029
hold,47,3.850147602,5.799472029
instead,47,3.850147602,5.799472029
kind,47,3.850147602,5.799472029
life,47,3.850147602,5.799472029
mike,47,3.850147602,5.799472029
pa,47,3.850147602,5.799472029
road,47,3.850147602,5.799472029
someone,47,3.850147602,5.799472029
tinker,47,3.850147602,5.799472029
favorite,46,3.828641396,5.822935393
hands,46,3.828641396,5.822935393
sang,46,3.828641396,5.822935393
sea,46,3.828641396,5.822935393
set,46,3.828641396,5.822935393
silly,46,3.828641396,5.822935393
amelia,45,3.80666249,5.846914477
bedelia,45,3.80666249,5.846914477
books,45,3.80666249,5.846914477
fall,45,3.80666249,5.846914477
grow,45,3.80666249,5.846914477
hug,45,3.80666249,5.846914477
kiss,45,3.80666249,5.846914477
same,45,3.80666249,5.846914477
sweet,45,3.80666249,5.846914477
toy,45,3.80666249,5.846914477
turtle,45,3.80666249,5.846914477
afraid,44,3.784189634,5.871432462
bee,44,3.784189634,5.871432462
bit,44,3.784189634,5.871432462
cry,44,3.784189634,5.871432462
dinner,44,3.784189634,5.871432462
faster,44,3.784189634,5.871432462
heart,44,3.784189634,5.871432462
hole,44,3.784189634,5.871432462
hurry,44,3.784189634,5.871432462
looks,44,3.784189634,5.871432462
moment,44,3.784189634,5.871432462
picked,44,3.784189634,5.871432462
sent,44,3.784189634,5.871432462
sitting,44,3.784189634,5.871432462
talk,44,3.784189634,5.871432462
wonderful,44,3.784189634,5.871432462
young,44,3.784189634,5.871432462
absolutely,43,3.761200116,5.896514127
animals,43,3.761200116,5.896514127
caught,43,3.761200116,5.896514127
eggs,43,3.761200116,5.896514127
finally,43,3.761200116,5.896514127
hall,43,3.761200116,5.896514127
jam,43,3.761200116,5.896514127
kept,43,3.761200116,5.896514127
mean,43,3.761200116,5.896514127
mulligan,43,3.761200116,5.896514127
waited,43,3.761200116,5.896514127
waiting,43,3.761200116,5.896514127
wolf,43,3.761200116,5.896514127
chicken,42,3.737669618,5.922186004
decided,42,3.737669618,5.922186004
dinosaurs,42,3.737669618,5.922186004
loud,42,3.737669618,5.922186004
stellaluna,42,3.737669618,5.922186004
wow,42,3.737669618,5.922186004
arthur,41,3.713572067,5.948476538
brought,41,3.713572067,5.948476538
caps,41,3.713572067,5.948476538
clean,41,3.713572067,5.948476538
filled,41,3.713572067,5.948476538
follow,41,3.713572067,5.948476538
gruffalo,41,3.713572067,5.948476538
hungry,41,3.713572067,5.948476538
making,41,3.713572067,5.948476538
o,41,3.713572067,5.948476538
pie,41,3.713572067,5.948476538
remember,41,3.713572067,5.948476538
stand,41,3.713572067,5.948476538
used,41,3.713572067,5.948476538
answered,40,3.688879454,5.975416287
bump,40,3.688879454,5.975416287
cannot,40,3.688879454,5.975416287
cream,40,3.688879454,5.975416287
hope,40,3.688879454,5.975416287
paper,40,3.688879454,5.975416287
smiled,40,3.688879454,5.975416287
soft,40,3.688879454,5.975416287
you've,40,3.688879454,5.975416287
fence,39,3.663561646,6.003038127
goodnight,39,3.663561646,6.003038127
guess,39,3.663561646,6.003038127
lilly,39,3.663561646,6.003038127
mine,39,3.663561646,6.003038127
wear,39,3.663561646,6.003038127
bag,38,3.63758616,6.031377497
close,38,3.63758616,6.031377497
covered,38,3.63758616,6.031377497
egg,38,3.63758616,6.031377497
