,word,source,freq_lcnl,freq_lcnl_log,freq_lcnl_log_flipscale,aoa_mean,aoa_sd,aoa_mean_scale,tasa_1,tasa_2,tasa_3
1691,weight,3k,2.0,0.693147181,9.243773377,6.53,2.34,2.612,5.0,33.0,54.0
1692,house,3k,310.0,5.736572297,3.741374387,3.16,1.07,1.264,1821.0,1217.0,1032.0
1693,hare,3k,31.0,3.4339872039999997,6.253504853,6.78,2.05,2.712,13.0,4.0,5.0
1694,hard,3k,76.0,4.33073334,5.2751508739999995,4.39,2.15,1.7559999999999998,573.0,581.0,543.0
1695,eve,3k,5.0,1.609437912,8.244096157000001,5.603611000000001,2.45,2.2414444000000002,16.0,6.0,5.0
1696,fist,3k,1.0,0.0,10.0,4.58,1.64,1.832,4.0,18.0,16.0
1697,hart,3k,2.0,0.693147181,9.243773377,9.6213,4.04,3.8485199999999997,10.0,0.0,0.0
1698,heave,3k,#N/A,#N/A,#N/A,9.05,3.03,3.62,1.0,1.0,3.0
1699,harp,3k,1.0,0.0,10.0,7.55,3.59,3.02,0.0,3.0,5.0
1700,praise,3k,#N/A,#N/A,#N/A,7.95,4.17,3.18,0.0,2.0,3.0
1701,since,3k,20.0,2.995732274,6.731642911000001,6.850480000000001,1.76,2.7401920000000004,55.0,149.0,200.0
1702,hilt,3k,#N/A,#N/A,#N/A,14.4,4.47,5.76,#N/A,#N/A,#N/A
1703,health,3k,1.0,0.0,10.0,7.56,4.03,3.024,2.0,6.0,31.0
1704,hill,3k,66.0,4.189654742,5.429068245,3.47,1.47,1.3880000000000001,252.0,182.0,134.0
1705,print,3k,2.0,0.693147181,9.243773377,7.67,2.99,3.068,4.0,10.0,17.0
