,,word
3k,2521,clash
unl,41,clashed
lcnl,775,clasp
lcnl,776,clasped
lcnl,777,clasps
3k,2526,class
unl,476,classed
unl,1610,claude
unl,1607,claus
3k,1029,clause
3k,1343,claw
unl,1694,clawed
lcnl,781,claws
3k,1342,clay
lcnl,783,clays
3k,1824,clean
lcnl,785,cleaned
lcnl,786,cleans
lcnl,787,cleanse
lcnl,788,cleansed
3k,1821,clear
unl,3124,cleared
unl,3082,clears
3k,1822,cleat
lcnl,791,cleats
lcnl,792,cleave
unl,2937,cleaved
lcnl,793,cleaves
lcnl,794,clef
3k,329,cleft
lcnl,796,clefts
unl,2733,clem
3k,1512,clench
lcnl,798,clenched
3k,816,clerk
lcnl,800,clerks
unl,3729,cleve
unl,3630,clews
3k,2228,click
lcnl,802,clicked
lcnl,803,clicks
unl,4729,client
unl,4723,clients
3k,2871,cliff
lcnl,805,cliffs
3k,2252,climb
lcnl,807,climbed
lcnl,808,climbs
lcnl,809,clime
lcnl,810,climes
3k,1526,clinch
lcnl,812,clinched
3k,1622,cling
lcnl,814,clings
lcnl,815,clink
lcnl,816,clinked
lcnl,817,clinks
unl,3919,clint
3k,2500,clip
unl,4330,clipped
lcnl,819,clips
lcnl,820,clique
lcnl,821,cliques
unl,4908,clive
3k,843,cloak
unl,5886,cloaked
lcnl,823,cloaks
3k,1539,clock
unl,5265,clocked
lcnl,825,clocks
3k,1294,clod
lcnl,827,clods
3k,1295,clog
lcnl,829,clogged
lcnl,830,clogs
unl,5338,clomped
lcnl,831,clone
unl,6977,cloned
lcnl,832,clones
lcnl,833,clop
unl,5630,clopped
3k,1874,close
lcnl,835,closed
lcnl,836,closes
3k,1300,clot
3k,2112,cloth
3k,2668,clothe
lcnl,840,clothed
lcnl,841,clothes
lcnl,842,cloths
3k,2109,clots
3k,2265,cloud
lcnl,845,clouds
unl,6504,clough
3k,2038,clout
lcnl,847,clouts
3k,2508,clove
lcnl,849,cloves
3k,2736,clown
unl,6885,clowned
lcnl,851,clowns
lcnl,852,cloy
3k,864,club
unl,7728,clubbed
lcnl,854,clubs
3k,865,cluck
unl,7545,clucked
lcnl,856,clucks
3k,866,clue
lcnl,858,clues
3k,1731,clump
unl,7514,clumped
lcnl,860,clumps
3k,1091,clung
lcnl,862,clunk
unl,7631,clunked
unl,7191,clunks
3k,978,clutch
lcnl,864,clutched
unl,8134,clyde
3k,728,coach
unl,5817,coached
lcnl,866,coaches
3k,1646,coal
lcnl,868,coals
3k,1929,coarse
3k,382,coast
lcnl,871,coasts
3k,1644,coat
unl,5868,coates
lcnl,873,coats
3k,1643,coax
lcnl,875,coaxed
lcnl,876,cob
unl,5453,cobb
unl,5769,cobbs
unl,5355,cobs
3k,1253,cock
lcnl,878,cocked
lcnl,879,cocks
3k,442,cod
3k,2179,code
lcnl,882,codes
unl,5962,coeur
lcnl,883,cog
lcnl,884,cogs
unl,5636,cohn
unl,6015,coif
unl,5998,coiffed
3k,336,coil
unl,6023,coiled
lcnl,886,coils
3k,338,coin
unl,5972,coined
lcnl,888,coins
3k,2813,coke
lcnl,890,cokes
unl,5343,col
3k,948,cold
unl,5501,colds
3k,2591,cole
unl,5237,cols
3k,943,colt
lcnl,894,colts
3k,1205,comb
unl,5216,combe
unl,5291,combed
lcnl,896,combs
3k,1206,come
lcnl,898,comes
unl,5326,comme
lcnl,899,con
unl,5198,conch
3k,504,cone
lcnl,901,cones
lcnl,902,conk
unl,5657,conked
lcnl,903,conks
unl,5316,conned
lcnl,904,cons
lcnl,905,coo
lcnl,906,cooed
3k,767,cook
unl,6049,cooke
lcnl,908,cooked
lcnl,909,cooks
3k,770,cool
lcnl,911,cooled
lcnl,912,cools
unl,6212,coombes
unl,6235,coombs
lcnl,913,coon
lcnl,914,coons
3k,758,coop
unl,6261,cooped
lcnl,916,coops
unl,6139,coos
lcnl,917,coot
lcnl,918,coots
3k,432,cop
3k,1057,cope
lcnl,921,coped
lcnl,922,copes
lcnl,923,cops
lcnl,924,copse
unl,5541,copt
unl,5519,copts
3k,601,cord
lcnl,926,cords
3k,602,core
unl,6464,cored
lcnl,928,cores
3k,608,cork
unl,6422,corked
lcnl,930,corks
3k,606,corn
unl,6352,corned
lcnl,932,corns
3k,1495,corps
3k,2758,corpse
unl,5758,cos
3k,797,cost
lcnl,936,costs
3k,433,cot
lcnl,938,cote
lcnl,939,cots
3k,1795,couch
unl,6502,couched
3k,1009,cough
lcnl,942,coughed
lcnl,943,coughs
3k,2446,could
3k,2823,count
lcnl,946,counts
3k,2009,coup
3k,1233,coupe
lcnl,949,coupes
lcnl,950,coups
3k,2579,course
unl,6698,coursed
3k,1618,court
lcnl,953,courts
3k,1463,cove
lcnl,955,coves
3k,434,cow
unl,6845,cowed
3k,1604,cowl
unl,6813,cowled
lcnl,958,cowls
lcnl,959,cows
3k,437,cox
3k,436,coy
3k,2278,crab
unl,115,crabbe
unl,726,crabbed
lcnl,963,crabs
3k,2712,crack
lcnl,965,cracked
lcnl,966,cracks
3k,2878,craft
lcnl,968,crafts
3k,2277,crag
lcnl,970,crags
unl,1104,craig
lcnl,971,crake
3k,2280,cram
lcnl,973,crammed
3k,1860,cramp
unl,596,cramped
lcnl,975,cramps
lcnl,976,crams
3k,2116,crane
unl,1974,craned
lcnl,978,cranes
3k,1126,crank
unl,417,cranked
lcnl,980,cranks
3k,2269,crap
lcnl,982,craps
3k,2385,crash
lcnl,984,crashed
3k,2397,crass
3k,2540,crate
lcnl,987,crates
3k,48,crave
lcnl,989,craved
lcnl,990,craves
unl,1678,craw
3k,291,crawl
lcnl,992,crawled
lcnl,993,crawls
unl,1732,craws
3k,897,craze
lcnl,995,crazed
lcnl,996,crazes
3k,1446,creak
lcnl,998,creaked
lcnl,999,creaks
3k,2667,cream
unl,2801,creamed
lcnl,1001,creams
3k,2169,crease
unl,2897,creased
3k,1038,creche
3k,579,creed
lcnl,1005,creeds
3k,577,creek
lcnl,1007,creeks
lcnl,1008,creel
3k,589,creep
unl,3287,creeped
lcnl,1010,creeps
unl,3741,creme
3k,928,crepe
lcnl,1012,crepes
3k,934,crept
lcnl,1014,cress
3k,1499,crest
lcnl,1016,crests
unl,3722,crete
3k,194,crew
unl,3656,crewe
lcnl,1018,crews
3k,1030,crib
unl,4277,cribbed
lcnl,1020,cribs
lcnl,1021,crick
lcnl,1022,cried
